Sentence,noisy_sentence
My French would likely be much better today if I'd studied with a native speaker.,i dpre ferdotal gim french myf remchw ou l dlikelypemuch   betdertodayifi  dsdud
I live in Egypt.,ir ive im  egy pd
"A case in West Virginia established that acquittal discharges a person from guilt, a pardon only from punishment.",a casei nwesdfirginiaezt ab lis hedthad acquitda rd ischalk ez ape lso nflom guirda baldononlyfr omp u nishnemt
Tom was attacked by a grizzly bear.,tdacket p y agli zsr y bear  do msaw ab ear
Have you ever climbed this tree?,aveyoue fe rpeeno macam ping trib
"Tom is often rude, isn't he?",e nru te isnthe   domi squ ite
She's no longer alone.,s hei zndalome anynore she z n olongeral
You wouldn't make a good doctor. Your handwriting is too easy to read., ourdn dn a geagoodtoctory  oulhandwriting iz dooea sy toread
"He made a careless mistake, as is often the case with him.",ea calele ssm ista ke a sis ovt entheca sew ithhin
I'm looking for a French teacher who is a native speaker.,chirdre n i mlooki mgf ora flenc hteach erwhois
That isn't what I plan to do.,ry t hingdhatiw ant etdod o
Layla was in bitch mode.,ray raw
At least you didn't give her any money.,she comb lainetco ntimuarl ythatt herewaz momo ne ylevt
Turkey imports a lot of gas from Algeria.,algeriaexpolt sidsnationa lre sou lces
I love the fact that Tom is back in Australia.,iwo mterwhent om wi ll pego ingtoa ustr alia
I really should have known that.,ignowt ha d ishourtn  tlie
We are baking a delicious cake.,wear ep aki nga deliciouz cake
Mary doesn't speak English.,d omgmewn aryco u rtntspeagfle nch
Tom needs to stay here for now.,tover he relight mow don tomm ee dsdo zta yher eforn 
Tom often spends his spare time reading novels.,donof tem zpe ndz hisspaleti  me read imgnofels
"I wondered to hear her talking of death, when, to all appearance, she seemed as well as we had ever seen her.",iwonte re ttohea lh  erdargimkofdeathwhe ndo arl ab pea la  nceshe  ze  emedaswelr aswehad ev e  rseenhe  l
Why is it like that?,w h yisitl iketh at
Who is Pedro?,oi zpetlo  donwh osdo m
"Hi Mr Ant, keeping up the good work today as well. Here's a sugar cube.",yan min eedszug ald onake s onev igjan himla nt kee b i ngub theg oo dwork today azwe   rlheresaz ugarc
"I like you, too.",i ligeyou to  o
Ave Maria.,
"Not five minutes after he started running, he tripped on a rock.",mo tfivemin ut esafter hezdal tetrum ning h  ed ribb edonaloc  k
I won't drink that.,tdr in g i wontdlin
We love going on picnics.,ezunny we ad helto goo napicnic
Tom and Mary said that they didn't really feel like doing that.,to man tmal ysaid dha tt heydid mtr e all yf eel  likedoingthad
Tom and I are now dating each other.,to mamt  ihav ebroke nub
Maybe Tom doesn't know who can sing well and who can't.,m  aype tomtoesn t kn owwh ocamsim  gw ellandwhoca mt
I'm sure all of you know Berber.,i msule ar lo fyou gnowp elber
I'm always thinking about you.,im alw ay sthi mkimgabout
My mom told me that I'm fat.,nymother sca r lingme nyn o mt oldnethad
I'd never done it before.,itmefer  toneid be vol e
You'll be laughed at if you do that.,you llb ela ughe dadi  vy oudothat
Tom and Mary don't want to become teachers.,to mantmar ydo m twantt obe come teachers
"Tom, could you come into my office?",d onrush edoudo  vhiz office
Tom and Mary did something I never thought they'd do.,t omandma lym ate uptheir min d  snottodo d hat
"""Could I get uhhhhhh... burger?"" ""Sir, we don't sell burgers here.""",  pu  rger sirw edontsell burgelzhele  limami ss edziri
Is this product available in Algeria?,t otheylif  einal geria
Greed and fear of loss are the roots that lead to the tree of evil.,vealshan eand kuirt a reefv e ctifemea nz ofmanipuladingpe ople
Algeria and Morocco could become North Africa's economic powerhouses.,ouldbec o me mordhafric a seconomicpowerhou ses  can algel iaachief epiggerec
Tom isn't sure what's going to happen.,tomt oe sndye t kno wwhadhelld o
"Muslim men are allowed marry Christian and Jewish women. If your wife is Christian or Jewish, how would you hate her in the first place?",yle doings omet himkthad snotmoralryacce p d ableinizram nuz limn e narear rowed na r rychlis tiam  amdj e  wish wonemivy o ulwife ischr iztiamoljewish   howwoultyouh atehel  inthefirstprace
Tom looks like he's lost a lot of weight.,tol oses ome weikht to nl oo kzli geheslo z ta lo
You're not going to infect me with an illness that doesn't exist.,you le n odgo in ktoimf e ctnewi dhani lrnessth a
I'm not obsessed with money.,b z ezsedw idhnom ey  iton tha ve dh emo n
Tom seemed a little disappointed.,domtidmt se ent oodisapp oimted
I'm willing to help – within reason.,imwil lim gtohel b–withi n  leasom  imk o
She was tricked into doing it.,sh ewas b unis hedfol toingdhat
"You knew I was going to kiss Tom, didn't you?",you gne w iw asgoim  gtok  izs tomdidndyou
Ziri exchanged his bill for change.,s iliresigne dov erthat
Tom said that he plans to stay until Monday.,tomsa ith edit ntpl  a nongoing  dhisweek
He watched a Swedish movie.,t ched azwedi zhmof ie  t hepro tovth
Tom and Mary say they're not happy.,it ort you t omandnarywe l ent goinktob eha
Trust me. You can do anything... but you can't do anything well.,tlus tm eyou c an toan ything butyouca mtd  oanydhi ngwe ll
That's a cheap store.,thisbag isexpen s ive
This is a big decision.,th iswillbl obabl ype o
I wish my wife was as good a cook as yours.,iw ish myw if  ewaza sgoo tac  oo kazy ours
Tom isn't as mad as Mary is.,do misti cklizh pudma ryizn t
Tom and Mary said they didn't think John did that.,omam d ma ryza ittheydo n tminddoi ng thatfor john
Doesn't Tom trust us?,d oezmdtomdruz d us
"Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip.",d hro ughout dhefiv eyea rso  fbaimvulcancer tr eadm en tzheman  agedtokeepa st
Please just get out of my way.,z dopgan gimku po nme
Tom went to the casino.,tomrip betu pthech e que
That water is a little salty.,thatw  at erisa litd lesar dy
I want you to give me some advice.,erl me wha tyouwan tm etodo
"A big ship, like a large airplane, has an enormous reynolds number; airships and low-mass submersibles are quite different.",hehazaralg e tr ucg a bi gzhiplikealalg eairpl  anehaza nenormou  sleyn oldsnu m ber airz hipsant lowm
I didn't have all my stuff.,ididn  t havea rrnys d  uvv
Sami and Layla ended up breaking up.,san i amd laylawer eno lonkeltokedh er
Mum plays tennis.,dennis
He only cares about himself.,on lycare sab oud himzelf  he has
I thought that Tom was bored., ughtdhadd onw azpo red  it h imk th atdonizbus y
Sami is sitting in jail.,zamiwa strapped ins ide
Sami was sexting Layla.,sa miwaz sexdingl ayla
There's fresh bread and water here.,hbr e adamdwatelhele  ipoughd vres h plead
Gentlemen NEVER snatch things from ladies . . . or forget to say thank you . . . or pull anybody's hair.,f ealittle dha mks gend r e mennever sn a tc hd himg sfron raties    olfolkett  oza ytha ng yo uorpurlan ybodyshai
Benedito's salad is a great way to use up leftover roasted vegetables.,ronhispr ands pe n edi to szal atis akrea twayt ouzeu p r
Is it hot in Boston now?,zsumn el i sitho t i npostom no
She played music.,nu sic shepl ayed
Do you go by train or car?,areyoudr if ink
Thank you for releasing me from my shackles.,thankyou forrele a sinkn ef r omnyshack les
Tom likes to kill frogs.,doml i gesd ogi
Tom couldn't make it.,age id
"If he doesn't accept the job, some other person will.",ivh ed o esn tacc ebdt hejopz o meotherpers o nwirr
How do I know that you're not lying to me right now?,wha t caniterl yo ua pou dmyzelfdha ty oud omdal rea dykmow
He's a jerk who preys on other women.,e zaj el kw hobleyso n othelw onen  hesz uc hawim p
Tom should've done that long ago.,d ommu
She closed the curtains.,zomeonecl osedhewin dow s
Igor got lost in the wilderness in the dark.,iko rkot rost imthewilt  ernezz imthe  dark
The first will be the last.,may bethatwa st helas  tone
She's in the library all day long.,irr seeyouadt hel ib r arytom orlow
Sami is going back upstairs., m iisgoi nk packupzdairs  saniwalk et behin dme
We knew that Tom would win.,w
This website is useless.,t his we bsiteisusele zz
I hope this is a good list.,ihobe thi z isagoo d rizt 
Tom won't return my calls.,iti tn tkmowt  om wouldco mepacg
"Sleeping in your car is like camping, sort of.",s reepi ngi nyou r cali  srige campingsoldof
Bring Tom here.,g domher e  getofe
Have you found anything yet?,hafey oufounda n yth inkyed
I looked over the documents., edov erdhe documemt s  i di
His hobby is painting pictures of flowers.,dheysben dallo fdheir tim epa i mding
What decided the end of the Roman Empire?,w ha t tecitedth ee ntoftheron a nem  pile
Mary has decided to try to do that by herself.,ryist oimgth atbyher z erf ma ryhasdec ide dt otrytod oth  
None of what's happening today has anything to do with me.,n om eof whadsha bbe m inkto dayha sanyth i mk totowithme
Mennad was revising for his exams.,ne nmadwas reviz i mgvorhi sexam  z
"Hate mail often contains exceptionally abusive, foul or otherwise hurtful language.",hatemairoft encom taimsex c eptio narlyabusiv e fourorodherwiseh
Yanni was mocking his teachers.,yanmiwa sbunishet for speedi mk
Everyone has domestic troubles from time to time.,ev eryo nehas dome stictr oublezfro ndim  etotime
We can't stay here.,we
The primary means of communication for cats is body language.,t hebrimarymeans o fcomnuni cati on volcatsispo dy lam guag  e
The context is important.,secrec yisinpo ltant th ecomte x dis
"This is my friend, Skura.",thisism yvri en dzkur a
You're as tall as your father.,you rv adhe rizbretd ytarl yourea stallasy  ourfa 
Somebody hit me.,zomepotykil le dhim
My sock has a hole in it.,my p amt shas alo to vlind
I think Tom and Mary need a ride to the airport.,id h imktonamd mary   needalid  eto the air  port
"Edmundo told Rima, too.",dtogl abrima ednun to tord
No one's answering the phone.,nesamzwer ink th epho ne  youge to neph onecalr
Don't laugh at him.,do mtlauk ha dhim
I saw Tom and Mary looking at themselves in the mirror.,to na mtmarygla mc eddo the irrevd isaw to mandna lyloo  gi ng ad dhe mselvesi
I always end up looking up the same words in the dictionary.,ial waysenduplo o g imgu pthesam ewor dzin t he dicdi o
I didn't get my wish.,ididn dg et my wi
He drove to work.,h edrofed o wor
"""Duke Onkled, it's tax season! You are under a ton of taxes!"" ""Don't hurt me, taxes! Please! I'll pay you this key!"" ""Acceptable enough. Now go away!""",zo nd imey oucamleaveifyouw ant d ug eon k leti tzt axse ason you al eunde  rato novdaxes tonthur tnet  axesplea  z e illp ayyouthi skeyacc epta plee moukhnowgoaway
"By the time Mariner 2 approached Venus, one of its solar arrays had failed and the vehicle came dangerously close to overheating, but it remained healthy enough to complete its scientific mission.",e dimemarinel2a pp ro achedv emuson e ofitzsol ara   lray  sha dvailetamdtheve hi crecame   tamgerousl ycros edoofe r he atingb udidlemainethea lth yenou ghtocompreteitssciemtific nizsion
What we owned in those days could fit into a shoebox.,m ys hoe race hazz n abbedill b ewithy ouim atick
The initiative measurably improved quality of life for the villagers.,dhep obul ad iono  vthevillag  edropb etbyadhirt
Our website is offline.,th is webziteisuse less ou rwebsite isoffl 
He found out about it on his own.,new zhe couldmdt ot hatbyher serf
Everyone knew that Tom was unhappy.,evelyon ek nowswho kirl etton ev elyomekne wtha ddomwa sun ha
The United States is the largest producer of cheese in the world.,ce isthemosdfisidetc oumtl yin the worl d theunited st ate zisthela rke zt plo tuce  
Am I being sacked?,a nip eimksack  e
John started to cry in the middle of the street and people started staring and pointing.,j o hnztarde dtocryin them  itdle o ft hezdl ee dan tbeoplesdart  e dsdaringandp oimt ing
Why's this so small?,wh yi zitrige th at whyzdh issosm 
That's just the thing I had in mind!,h atsju st thethimg ih atin nimt  guezz wha ts onmy nind
"Lorenzo sat in the car for a good half hour, talking on the phone.",lo renso sad inthe ca rforakoo tha  lfho
People used to have LAN parties for multiplayer gaming before the widespread availability of high-speed Internet access.,peopl euse dtohaverampaldiesvor nurdiplayel gam in g befoled he wi dezpleatafai labilid yofhighsbeedim t e rned accezs  a lke liahazalap
"For God's sake, what happened?",thishappen ink volgodz sak ew hadhabp e
I just don't feel that way about her.,ijusd domt v eel that wayap ou d
I have nothing more important to say.,him kmoleimp ordandt osay
He was cast as Hamlet.,hewa zcas t asham led
Have you asked Tom and Mary why they didn't do that?,h af eyoua sked domand marywhyt h ey  d it n ttothat
Tom said that he didn't mind doing that at all.,toms ait th athe di tmd nin dtoimg  dhatatal  l
She pricked herself with a needle while embroidering.,shebric ged hers elvw ithameedl ewhi leenb loide  ring
How large are they?,howp i gisyourva nil y
French is spoken in France.,weto ndsp ea kvlemch
My parents never punished me for anything I did.,m y parendsnever b un izhed me folanythim g idid
We expect sales to rise this quarter.,e xpecdsal est ori ze  thisquartel  irrw a itumdilf o uroclock
"If Tom and Mary don't want me to do that, I won't.",ivtom a nd nary t ont  wandne tod othati   w ont
I think that Tom is unprejudiced.,ith ingthat do miz unplejud iced
Tom has a good chance of getting elected.,t onhazpl entyovop t ioms do nh asagoo t cha mce ovgetdin
Mary wasn't the first one who said she wanted to do that.,ma lywas m tt  hefi rstonewho saitshe wan d edto   tothat
I don't want to drink anything.,i dond wan ttodrink anyth img
Mary told Tom that she had to go.,mal ysai dsh eheardt  omzaydh at
I didn't go with Tom.,itit nt h aveto  kowidhtom 
Powerlifting makes me feel like a super hero in my everyday life.,w erliftin   gmagesm efeerr  i geaz uperheroi mmyeverytaylife  your lovekafe net hestlen g dh dogoon
You make me feel uncomfortable.,youmagem efee lumco mf ortable
I hope that Tom understands how grateful I am.,ih obedhatdo mu nd elstands  ho wk rat
There is a shared knowledge.,ereisaz haletkno wl edg e  i
This is the essence of Islam.,islanof ferst hedru dh t hi si stheezzen ceofi 
There are a lot of people here today.,t h erear eal otof  beopl  eheretoday
"""The Invisible Guest"" is called ""L'Accusé"" in French.",thei nviziblek uez ti sc al  red laccusé imfrench
Tom will follow my advice.,i fe advi zetto mtot odhat
He is busy correcting test papers.,nen madwasle fisin gvorh is exams
It's a matter of the utmost importance.,t hi sisanimport ant madder itsamadte lofdheud m ozt
Tom didn't want to believe the rumor about Mary and John.,to man tna lysai dthe yd idntt hin kj ohndidthat
She stopped to catch her breath.,itbecaneincr ea singryhardto   bleathe
We can never thank Tom enough.,we c an neve r thamktonenough
I don't think Tom and Mary like to swim.,i tom dth ingtomand nar ykno  wthat i  don drikethen
Tom hasn't unpacked yet.,t omhasn tunpa ckedyet
I can't believe you told him that.,n t berievey out or dhindhat  zhesa idshecou rdmtbe lievei t
I can't help you because I'm too busy.,inzor ry icou ltntherbt h em
Our teacher is a martial arts expert.,eachelizanaldia  lalt sexpe rt  im currentl yat eac heradt hi
Ziri has got time.,z i rihaz  goddine
Tom said he'd call me right back.,zai the tcall merig htback
Sami had only one option: kill or die.,zam ih adonly one optio mk illo ldie
That isn't what they're after.,th atznotactua rlywh adhapbe ned
Anyone can run for class president.,y onecanrunfor classb l esidem t
I didn't see anyone skating.,noon eha ssee ny ou i didndseeamyones
The gathering has been cancelled because of rain.,dhe gatherink hazb eencam celret pecauze ofla in
Trans ideology is becoming a religion.,zit e ology isbec omimgareligiom  s heis amus limco nfelt
Maybe Mary doesn't know what she did was wrong.,nay bedomdoesn dkm o wtha  tmaryw as th e onewhotidthat 
The catechist studied.,theca 
I know nothing about mathematics.,mathemat ics
He looked like he was going to cry.,h erooke dlik  ehewa sgoingto cly 
I'll see you at the library tomorrow.,lzeeyoua tthelibr a ryd o norrow  o gi r lzeeyoutomor row
Could you tell me the way to the zoo?,icev ron hi okapark c our dyou t ell m e th
I am massaging my foot.,am mas sagin kmyvoo d  iamri mpi ng arong
Tom and I went to high school together., ma ndiwen dtohikh zch oolt ogether  tonan di ha veprokenu b
All the children loved and adored Tom.,allthe chi ld renlofedamta d oredt on
Did you bring me what you said you would?,d idyo uwl itetowne ve rydhi mg itordyou
I just called to say 'I love you'., you
You've got to stay here until we get back.,u  vekodd o sday h ereunt ilwekedpa ck  w ezho urdgeto ud ofher
Is this your picture?,isdh isyo urbictu re
I used to respect Tom.,we lesp ect tona lot iuse dtore s pec tt
He was filled with wonder.,iw as fascina de twithhin
She doesn't love anyone except herself.,ne zh edoe sndlof eanyonee
He was DJing alongside me.,ovo rrowhim he wasdjinkalo n
I didn't think about that.,hey iarr eatyth ou ghtofth ad
When was the last time that you ate out?,th e l astti met hatyo  uateout  whe nw azdh ela stdim e
I did not tell him what you had written in this letter.,i sretdel i ti dmot delrhimwh aty o uhatw r itteni ndh  isredder
He has the election under his belt.,cupa tio mofhisown choice
Sami wanted to start his own business.,ablay samiwamte ttoztard hi sown puzi n ess
Sami is already working on an appeal.,za miis alrea tywor kin gonan appeal
The sled accelerated as it went down the icy slope.,a vr agmemdofi ce vloat edby the zletacce lelate dasitwe mt down d  h
"Now you are sixteen, you should know better.",youreplobabl yt ooyoung t ound ersdandth is
Felix usually leaves at five.,usuar ly lea vesatvi fe
The meeting won't be taking place.,dhe needi mgwont pe tak img place
She hid her weapons.,l mz shehid he rweabo mz
I need to know exactly what happened here yesterday.,whathap p ened  hereye  zterday  idid mtkm oww hatw az koinktoh appen
Sami skipped his biology test.,k ibbedhizp iologytezt  za mifi lretdhepa perworgo ud
I'll call the police.,rice
I just lay there.,iaml i npin garong
Don't be so picky.,don  tbesopic ky  t
Mary is dead because of your irresponsibility.,naryisdeatb ecaus  eovyourirr espo  nzipility
Now I feel so stupid.,im sos icg of dhis
Tom got expelled from school for fighting., dfromscho orv olfigh tink  tomw
"After opening, please eat as soon as possible.",no wd ha tyouvec a rnetdownle dsgogra bzomet
He is engaged in an occupation of his own choice.,the el ectiomun derh i sbelt heiseng age dinam o ccupat io n of hiso
Movies are scripted. Real life is not.,mof ie sares cribdet re alliv e isnot
Tom isn't likely to be desperate.,tomiz nt ligeryto b edes per ate
Tom lent all the money he had on him to me.,atem om eyh antofel fizt t omle  mtalldh em  oneyhe ha  dom hintome
Tom has a pile of textbooks on his desk.,do nhas a bireo  vde x tboo ksomhis desg
I'd like to be more than just friends.,moredh anjuzdf ri en dz  idra thellife alo ne
She's famous as a singer but not as a poet.,sh es famousas as  in gelbu tnot azabo  ed
Tom and Mary keep their uniforms clean.,to mandnary jus tg otth eirbl a cesofv
Adriano practised Islam.,at liamo pracdisedizla  m
Is fast food causing an obesity epidemic? More about that after this McDonald's commercial.,i sfasdvoot cauzi mkan op esidyep idemicmoleab oudtha ta  ftert
You must cherish your freedoms.,youmusd cherishyourvr eet   om s
Ziri didn't mind.,zil iditmtmi  n d
Mary kept on flirting with him.,ebdomfri lting  withhim  maryzdrai ne dhe rpack
Ziri always wore a tuxedo.,zirimevermiss es 
Mennad isn't taking any medicine.,menmati sn tta kimgamynetici m  e
"You need answers, don't you?",iony o une eddoask yo urselvez
I'm hoping you'll agree to do that.,iwan dy  outopr   omizenet hady oulltot hat
Tom knew Mary couldn't speak French.,tom i zmdsurethadm aryc anu n delstantfr ench
I'm going to organize a party.,ing tool g anizeapalty  it lig
Tom and Mary have made a startling discovery.,donam dnalyha ve made a stald rimkd i scovery
The guys standing over there are Tom and John.,thegu yzsta ndi nk ove rthe l ear etomandjohn
Sami was searching for his twins.,s a mihasbee nseeingan othe rgirl
He's at the post office sending a package to a friend.,hesa td hepo sto v f ice semtinga bacgag e doafliemd
All I know is that I know nothing.,ar rik no wisth  atig no wnothimg
Tom has broken both his arms.,mh asbl okembot hh isarms  don ha dah am me
Questions have begun to surface about your involvement in the scandal.,quezti onsh af ebegum dosur f aceaboudyourinvolvem  endindhes canta l  zhet id 
I thought that Tom wasn't absent.,id h oughttonwasn tawag e it houghtt hatt omw
We discussed the matter.,wedi scuszett h  enatd el
Throat and nose membranes hurt by dry air allow cold viruses to enter more easily. It is important to carry out sensible counter plans against the cold with heaters and against the dryness with humidifiers.,t hloadan dm ozememblan esh urd bydlya ir  allow cortf i r  uz est oender nol eeasiryidisimpordanddocar  lyoudse ns ipreco unte rpla nsa ga ins tth ecoltwi thheat ersantaga inzddh et rynessw idhhumidifiers
We took advantage of the sunny weather to go on a picnic.,wed ooka d fantage ofdh esun ny we   adhe ltokoonabicnic
I think that Tom may not be able to do that for us.,i thinkd ha  ddom mayno db eab  le tot othatf oruz
Everybody's doing that.,everyo neizdoi nkdha t
Do you still want this?,yo udom tw antdhis d oyou
Tom tried to persuade Mary not to leave.,to m tli edd opersuade nary nodtoleaf e
It is the patient who knows if he is in pain.,t om wa mt ztokn owiv ithultz
I know how much you care for me.,i kno wthaty ouwo
I see a surge in loan growth.,i zee asurk eiml oamgro wth 
I've advised Tom to do that.,iv ea dv
I want to know if you will refund the full purchase price.,fy  ouw illre f umdd hevullp  ulc hase brice  idsopfi ousdha dyoure interesteti
Tom is always pessimistic about everything.,tonhazarw ay s pee nzpoiled tomisalways pessimisdi c a
"You weren't surprised that I needed to do that, were you?",you wer ent sur prize  dthatineed  ed to doth adwereyou
"I'm a teacher, not a student.",i mad each ermo tasdu demt
Where has Will gone?,al ethek itz whereh aswir
Ziri told Rima to be quiet.,z irizhowe dthel ea f lettorina
She coughed.,zhedhre wu p
Read more books.,re admoreb o
Sami felt like Layla was disrespecting him.,ldr ige laylawa zdislezpe c t imghim  zan itoe smdth imk laylare cognizedhin
It must be a difficult situation for you all.,idm u sd beatif  ficurtsitua tionfolyou  all
Why does Tom look so sad?,whydoez
He is not interested in it.,he izno tind  e restedinit
Tom and Mary said the noise didn't bother them.,d onan dmary  zai dtheyr ikethe  sou ndovthad
Tom is an explosives expert.,t omisanexp loz if  esex pert
There's no other choice.,esnoo dherc hoice  we h afemo
I felt a deep pain.,iv eldadee bp  ain
I tried to speak.,idriedd os pe ak
We just got here today.,h earr ivedhere sav eryyestelday
I can't find them either.,ihavemt vo und itamywher e
Felix went down into that basement all by himself.,vel ixzt ay eddhe leimthepadhl oom
I'm sure that Tom and Mary can take care of themselves.,ar yha vetoleave im zure that do ma ntm arycam tak ecaleofth  enzerves
Tom and Mary loved living on the ranch with their grandparents.,toma n dmarylo vedl ivingo nthelanch w id htheir g  ra ndbaremtz
I'm surprised that nobody found him.,ih av emtvoumditanyw hele i msurbr izetdha tnob
I can't stand know-it-alls like Tom.,ivemever stoppedr ofi  ngdom
Tom put his hand over Mary's mouth.,do namd maryroll edubtheirz r  eeves
"Deluded by the imprudent language of my looks, she surrendered to the sweet belief that she was the idol of these looks.",ie ws del utedbydhei np rudent lang uageof  my rooksshez urr ent  eledtodhe zwee dper i ev   thatz hewastheid oloftheselooks
Tom looks like a wise man.,t on lookz rige a
He feels cold.,heveelz c old
Tom and Mary have a nice home.,t o mand naryri veo ffdh ekrit
Tom is a much better swimmer than Mary is.,to m isamuc hb ettelc heszpray erd h anmary
Tom was able to keep Mary from doing that.,tonwa sa bledoke ebm alyfr o mt oim gthad
Tom reluctantly did what he was told to do.,to mreru ctam tly ditwhadhe w aztol tdot o
It must be wonderful to live here.,i mk etd i ngtir edo frif imkherepynyzelf
God is straight.,k odiszdrai  g hd
Mary says that Tom is innocent.,maryzayzshedo es nd blameto mvo rwha dhap p emet
Tom has been down in the basement all morning.,tomha sbeendo wn imdhep azen enta llm or ning
Tom is a minister.,tomis tevo ted tom isa ni 
Motorcycles are great. They can easily get through even in heavy traffic.,moto rcyclesar ekre at they c ameasirygetth roug heveni m heavydla fvic
Tom and I haven't changed our minds.,to m and ihav  en tchamkedourm imds
Tom wants to be a lawyer.,dav eryg o otlawyer
Sami's sister wants to become an actress.,issi sdelwandztopeco me ana c tle ss  sa miwantsto inb less layra
It's a lot easier to paddle a canoe downstream than to paddle upstream.,itsaro teasi ert op atdl ea can oedown s treamth an topadtl eupstrean
It's their last movie.,idsd h
